Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Sector Affected,Provider,Launch Type,Explosive Weapon Type,Reported Perpetrator,Reported Perpetrator Name,Affected
2025-06-16,,Iran,IRN,Tehran Province,35.7,51.5,(2) 25 km Precision ,"Health Care, Aid Operations",National Red Cross Society,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker
2025-06-15,,Iran,IRN,Tehran Province,35.8,51.4,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2025-06-15,,Iran,IRN,Kermanshah Province,34.3,47,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2025-06-14,,Iran,IRN,Hamadan Province,34.7,48.1,(2) 25 km Precision ,"Health Care, Aid Operations",National Red Cross Society,Air-Launched: Drone,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker
2025-06-14,,Iran,IRN,West Azerbaijan Province,37.5,45,(2) 25 km Precision ,"Health Care, Aid Operations",National Red Cross Society,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2025-06-13,,Iran,IRN,Tehran Province,35.7,51.3,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker
2025-06-13,,Iran,IRN,Tehran Province,35.6,51.3,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Drone,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2025-06-13,,Iran,IRN,Kermanshah Province,34.5,45.5,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker
2025-06-13,,Iran,IRN,Tehran Province,35.6,51.3,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker
2025-06-13,,Lebanon,LBN,South Governorate,33.3,35.0,censored by HDX,Food Security,None,Directly-Emplaced,Hand Grenade,Foreign Forces: Military,Israeli Defence Forces,Other
2025-06-13,,Iran,IRN,East Azerbaijan Province,38,46.2,(2) 25 km Precision ,"Health Care, Aid Operations",National Red Cross Society,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure
2025-06-13,,Iran,IRN,Tehran Province,35.6,51.3,(2) 25 km Precision ,"Education, Health Care","Local Education Provider, Local Health Care Provider",Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker
2025-06-12,,Lebanon,LBN,Nabatieh Governorate,33.2,35.3,censored by HDX,Food Security,None,Unspecified Launch Method,Unspecified Explosive,Foreign Forces: Military,Israeli Defence Forces,Other
2025-06-12,,Lebanon,LBN,South Governorate,33.3,35.0,censored by HDX,Food Security,None,Directly-Emplaced,Hand Grenade,Foreign Forces: Military,Israeli Defence Forces,Other
2025-06-11,,Lebanon,LBN,Nabatieh Governorate,33.2,35.3,censored by HDX,Food Security,None,Directly-Emplaced,Hand Grenade,Foreign Forces: Military,Israeli Defence Forces,Other
2025-06-11,,Lebanon,LBN,Nabatieh Governorate,33.2,35.3,censored by HDX,Food Security,None,Directly-Emplaced,Hand Grenade,Foreign Forces: Military,Israeli Defence Forces,Other
2025-06-10,,Lebanon,LBN,Nabatieh Governorate,33.2,35.3,censored by HDX,Food Security,None,Air-Launched: Drone,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Other
2025-06-07,,Lebanon,LBN,Nabatieh Governorate,33.2,35.3,censored by HDX,Food Security,None,Directly-Emplaced,Hand Grenade,Foreign Forces: Military,Israeli Defence Forces,Other
2025-06-03,,Syria,SYR,Dar'a Governorate,32.7,35.8,(2) 25 km Precision ,Food Security,None,Ground-Launched,Artillery,Foreign Forces: Military,Israeli Defence Forces,Other
2025-05-22,,Lebanon,LBN,South Governorate,33.3,35.0,censored by HDX,Food Security,None,Directly-Emplaced,Hand Grenade,Foreign Forces: Military,Israeli Defence Forces,Other
2025-05-20,,Lebanon,LBN,South Governorate,33.3,35.0,censored by HDX,Food Security,None,Directly-Emplaced,Hand Grenade,Foreign Forces: Military,Israeli Defence Forces,Other
