Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Sector Affected,Provider,Launch Type,Explosive Weapon Type,Reported Perpetrator,Reported Perpetrator Name,Affected,Aid Workers Killed,Health Workers Killed,Aid Health Workers Killed,Educators Killed,Students Killed,Food Security,SiND Event ID
2025-06-20,,Iran,IRN,Tehran Province,35.6,51.3,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Drone,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure,,,,,,,104358
2025-06-20,,OPT,PSE,Gaza Strip,,,censored,"Protection, Aid Operations, Food Security","IDP/Refugee Service, NGO",Ground-Launched,Shelling,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,107509
2025-06-19,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108999
2025-06-19,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,109000
2025-06-19,,Lebanon,LBN,Nabatieh Governorate,,,censored by HDX,Food Security,None,Directly-Emplaced,Hand Grenade,Foreign Forces: Military,Israeli Defence Forces,Other,,,,,,,105768
2025-06-19,,OPT,PSE,Gaza Strip,,,censored,"Aid Operations, Food Security",NGO,Air-Launched: Drone,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,105769
2025-06-18,,OPT,PSE,Gaza Strip,,,censored,"Aid Operations, Food Security",NGO,Air-Launched: Drone,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,105760
2025-06-18,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Drone,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108922
2025-06-17,,Iran,IRN,Tehran Province,35.7,51.4,(2) 25 km Precision ,"Health Care, Aid Operations",National Red Cross Society,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Aid Infrastructure,,,,,,,104368
2025-06-17,,OPT,PSE,Gaza Strip,,,censored,"Protection, Aid Operations, Food Security","IDP/Refugee Service, NGO",Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,107508
2025-06-17,,Lebanon,LBN,South Governorate,,,censored by HDX,Food Security,None,Directly-Emplaced,Hand Grenade,Foreign Forces: Military,Israeli Defence Forces,Other,,,,,,,105752
2025-06-17,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108920
2025-06-17,,Iran,IRN,Tehran Province,35.7,51.4,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Other,,,,,,,104372
2025-06-17,,Iran,IRN,Tehran Province,35.7,51.4,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure,,,,,,,104365
